Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Revenue,Month,Year
57,2023-11-18 00:00:00,CUST057,Female,63,Beauty,1,30,30,30,11,2023
58,2023-11-13 00:00:00,CUST058,Male,18,Clothing,4,300,1200,4800,11,2023
59,2023-07-05 00:00:00,CUST059,Male,62,Clothing,1,50,50,50,7,2023
60,2023-10-23 00:00:00,CUST060,Male,30,Beauty,3,50,150,450,10,2023
61,2023-04-09 00:00:00,CUST061,Male,21,Beauty,4,50,200,800,4,2023
62,2023-12-27 00:00:00,CUST062,Male,18,Beauty,2,50,100,200,12,2023
63,2023-02-05 00:00:00,CUST063,Male,57,Electronics,2,25,50,100,2,2023
64,2023-01-24 00:00:00,CUST064,Male,49,Clothing,4,25,100,400,1,2023
65,2023-12-05 00:00:00,CUST065,Male,51,Electronics,4,500,2000,8000,12,2023
66,2023-04-27 00:00:00,CUST066,Female,45,Electronics,1,30,30,30,4,2023
67,2023-05-29 00:00:00,CUST067,Female,48,Beauty,4,300,1200,4800,5,2023
68,2023-02-10 00:00:00,CUST068,Male,25,Electronics,1,300,300,300,2,2023
69,2023-04-30 00:00:00,CUST069,Female,56,Beauty,3,25,75,225,4,2023
70,2023-02-21 00:00:00,CUST070,Female,43,Clothing,1,300,300,300,2,2023
71,2023-07-14 00:00:00,CUST071,Female,51,Beauty,4,25,100,400,7,2023
72,2023-05-23 00:00:00,CUST072,Female,20,Electronics,4,500,2000,8000,5,2023
73,2023-08-21 00:00:00,CUST073,Male,29,Electronics,3,30,90,270,8,2023
74,2023-11-22 00:00:00,CUST074,Female,18,Beauty,4,500,2000,8000,11,2023
75,2023-07-06 00:00:00,CUST075,Male,61,Beauty,4,50,200,800,7,2023
76,2023-03-25 00:00:00,CUST076,Female,22,Electronics,2,50,100,200,3,2023
77,2023-07-09 00:00:00,CUST077,Female,47,Clothing,2,50,100,200,7,2023
78,2023-07-01 00:00:00,CUST078,Female,47,Clothing,3,500,1500,4500,7,2023
79,2023-04-18 00:00:00,CUST079,Male,34,Beauty,1,300,300,300,4,2023
80,2023-12-10 00:00:00,CUST080,Female,64,Clothing,2,30,60,120,12,2023
81,2023-05-17 00:00:00,CUST081,Male,40,Electronics,1,50,50,50,5,2023
82,2023-12-26 00:00:00,CUST082,Female,32,Beauty,4,50,200,800,12,2023
83,2023-12-16 00:00:00,CUST083,Male,54,Electronics,2,50,100,200,12,2023
84,2023-11-28 00:00:00,CUST084,Female,38,Electronics,3,30,90,270,11,2023
85,2023-02-06 00:00:00,CUST085,Male,31,Clothing,3,50,150,450,2,2023
86,2023-11-08 00:00:00,CUST086,Male,19,Beauty,3,30,90,270,11,2023
87,2023-11-22 00:00:00,CUST087,Female,28,Beauty,2,50,100,200,11,2023
88,2023-03-29 00:00:00,CUST088,Male,56,Clothing,1,500,500,500,3,2023
89,2023-10-01 00:00:00,CUST089,Female,55,Electronics,4,500,2000,8000,10,2023
90,2023-05-06 00:00:00,CUST090,Female,51,Electronics,1,30,30,30,5,2023
91,2023-03-25 00:00:00,CUST091,Female,55,Electronics,1,500,500,500,3,2023
92,2023-08-25 00:00:00,CUST092,Female,51,Electronics,4,30,120,480,8,2023
93,2023-07-14 00:00:00,CUST093,Female,35,Beauty,4,500,2000,8000,7,2023
94,2023-05-19 00:00:00,CUST094,Female,47,Beauty,2,500,1000,2000,5,2023
95,2023-11-24 00:00:00,CUST095,Female,32,Clothing,2,30,60,120,11,2023
96,2023-12-19 00:00:00,CUST096,Female,44,Clothing,2,300,600,1200,12,2023
97,2023-10-13 00:00:00,CUST097,Female,51,Beauty,2,500,1000,2000,10,2023
98,2023-04-23 00:00:00,CUST098,Female,55,Beauty,2,50,100,200,4,2023
99,2023-12-17 00:00:00,CUST099,Female,50,Electronics,4,300,1200,4800,12,2023
100,2023-06-16 00:00:00,CUST100,Male,41,Electronics,1,30,30,30,6,2023
101,2023-01-29 00:00:00,CUST101,Male,32,Clothing,2,300,600,1200,1,2023
102,2023-04-28 00:00:00,CUST102,Female,47,Beauty,2,25,50,100,4,2023
103,2023-01-17 00:00:00,CUST103,Female,59,Clothing,1,25,25,25,1,2023
104,2023-06-11 00:00:00,CUST104,Female,34,Beauty,2,500,1000,2000,6,2023
105,2023-07-25 00:00:00,CUST105,Female,22,Electronics,1,500,500,500,7,2023
106,2023-05-18 00:00:00,CUST106,Female,46,Clothing,1,50,50,50,5,2023
107,2023-02-03 00:00:00,CUST107,Female,21,Clothing,4,300,1200,4800,2,2023
108,2023-04-19 00:00:00,CUST108,Female,27,Beauty,3,25,75,225,4,2023
109,2023-10-18 00:00:00,CUST109,Female,34,Electronics,4,500,2000,8000,10,2023
110,2023-06-11 00:00:00,CUST110,Male,27,Clothing,3,300,900,2700,6,2023
111,2023-04-19 00:00:00,CUST111,Female,34,Electronics,3,500,1500,4500,4,2023
112,2023-12-02 00:00:00,CUST112,Male,37,Clothing,3,500,1500,4500,12,2023
113,2023-09-13 00:00:00,CUST113,Female,41,Electronics,2,25,50,100,9,2023
114,2023-07-22 00:00:00,CUST114,Female,22,Beauty,4,25,100,400,7,2023
115,2023-11-26 00:00:00,CUST115,Male,51,Clothing,3,500,1500,4500,11,2023
116,2023-08-23 00:00:00,CUST116,Female,23,Clothing,1,30,30,30,8,2023
117,2023-03-15 00:00:00,CUST117,Male,19,Electronics,2,500,1000,2000,3,2023
118,2023-05-16 00:00:00,CUST118,Female,30,Electronics,4,500,2000,8000,5,2023
119,2023-03-13 00:00:00,CUST119,Female,60,Clothing,3,50,150,450,3,2023
120,2023-05-07 00:00:00,CUST120,Male,60,Beauty,1,50,50,50,5,2023
121,2023-10-15 00:00:00,CUST121,Female,28,Electronics,4,50,200,800,10,2023
122,2023-10-03 00:00:00,CUST122,Male,64,Electronics,4,30,120,480,10,2023
123,2023-05-15 00:00:00,CUST123,Female,40,Electronics,2,30,60,120,5,2023
124,2023-10-27 00:00:00,CUST124,Male,33,Clothing,4,500,2000,8000,10,2023
125,2023-08-08 00:00:00,CUST125,Male,48,Clothing,2,50,100,200,8,2023
126,2023-10-26 00:00:00,CUST126,Female,28,Clothing,3,30,90,270,10,2023
127,2023-07-24 00:00:00,CUST127,Female,33,Clothing,2,25,50,100,7,2023
128,2023-07-05 00:00:00,CUST128,Male,25,Beauty,1,500,500,500,7,2023
129,2023-04-23 00:00:00,CUST129,Female,21,Beauty,2,300,600,1200,4,2023
130,2023-03-12 00:00:00,CUST130,Female,57,Clothing,1,500,500,500,3,2023
131,2023-09-18 00:00:00,CUST131,Female,21,Beauty,2,300,600,1200,9,2023
132,2023-09-10 00:00:00,CUST132,Male,42,Electronics,4,50,200,800,9,2023
133,2023-02-16 00:00:00,CUST133,Male,20,Electronics,3,300,900,2700,2,2023
134,2023-01-25 00:00:00,CUST134,Male,49,Electronics,1,50,50,50,1,2023
135,2023-02-26 00:00:00,CUST135,Male,20,Clothing,2,25,50,100,2,2023
136,2023-03-20 00:00:00,CUST136,Male,44,Electronics,2,300,600,1200,3,2023
137,2023-11-18 00:00:00,CUST137,Male,46,Beauty,2,500,1000,2000,11,2023
138,2023-03-23 00:00:00,CUST138,Male,49,Clothing,4,50,200,800,3,2023
139,2023-12-15 00:00:00,CUST139,Male,36,Beauty,4,500,2000,8000,12,2023
140,2023-08-05 00:00:00,CUST140,Male,38,Electronics,1,30,30,30,8,2023
141,2023-11-02 00:00:00,CUST141,Female,22,Electronics,1,50,50,50,11,2023
142,2023-02-02 00:00:00,CUST142,Male,35,Electronics,4,300,1200,4800,2,2023
143,2023-07-17 00:00:00,CUST143,Female,45,Clothing,1,50,50,50,7,2023
144,2023-07-15 00:00:00,CUST144,Female,59,Beauty,3,500,1500,4500,7,2023
145,2023-11-02 00:00:00,CUST145,Female,39,Clothing,3,25,75,225,11,2023
146,2023-08-28 00:00:00,CUST146,Male,38,Clothing,4,50,200,800,8,2023
147,2023-09-28 00:00:00,CUST147,Male,23,Electronics,1,300,300,300,9,2023
148,2023-05-09 00:00:00,CUST148,Male,18,Clothing,2,30,60,120,5,2023
149,2023-10-11 00:00:00,CUST149,Male,22,Clothing,3,25,75,225,10,2023
150,2023-01-06 00:00:00,CUST150,Female,58,Electronics,4,30,120,480,1,2023
151,2023-12-15 00:00:00,CUST151,Male,29,Clothing,1,50,50,50,12,2023
152,2023-02-28 00:00:00,CUST152,Male,43,Electronics,4,500,2000,8000,2,2023
153,2023-12-16 00:00:00,CUST153,Male,63,Electronics,2,500,1000,2000,12,2023
154,2023-10-02 00:00:00,CUST154,Male,51,Electronics,3,300,900,2700,10,2023
155,2023-05-17 00:00:00,CUST155,Male,31,Electronics,4,500,2000,8000,5,2023
156,2023-11-25 00:00:00,CUST156,Female,43,Clothing,4,25,100,400,11,2023
157,2023-06-24 00:00:00,CUST157,Male,62,Electronics,4,500,2000,8000,6,2023
158,2023-02-27 00:00:00,CUST158,Female,44,Electronics,2,300,600,1200,2,2023
159,2023-05-31 00:00:00,CUST159,Male,26,Clothing,4,50,200,800,5,2023
160,2023-08-11 00:00:00,CUST160,Female,43,Clothing,2,50,100,200,8,2023
161,2023-03-22 00:00:00,CUST161,Male,64,Beauty,2,500,1000,2000,3,2023
162,2023-08-21 00:00:00,CUST162,Male,39,Clothing,2,30,60,120,8,2023
163,2023-01-02 00:00:00,CUST163,Female,64,Clothing,3,50,150,450,1,2023
164,2023-05-15 00:00:00,CUST164,Female,47,Beauty,3,500,1500,4500,5,2023
165,2023-09-14 00:00:00,CUST165,Female,60,Clothing,4,300,1200,4800,9,2023
166,2023-04-02 00:00:00,CUST166,Male,34,Clothing,4,500,2000,8000,4,2023
167,2023-09-17 00:00:00,CUST167,Female,43,Clothing,3,50,150,450,9,2023
168,2023-02-24 00:00:00,CUST168,Male,53,Clothing,1,300,300,300,2,2023
169,2023-11-17 00:00:00,CUST169,Male,18,Beauty,3,500,1500,4500,11,2023
170,2023-06-02 00:00:00,CUST170,Female,25,Clothing,2,25,50,100,6,2023
171,2023-11-24 00:00:00,CUST171,Female,52,Clothing,3,300,900,2700,11,2023
172,2023-09-17 00:00:00,CUST172,Male,32,Beauty,2,25,50,100,9,2023
173,2023-11-08 00:00:00,CUST173,Male,64,Electronics,4,30,120,480,11,2023
174,2023-04-12 00:00:00,CUST174,Female,39,Beauty,1,300,300,300,4,2023
175,2023-03-20 00:00:00,CUST175,Female,31,Electronics,4,25,100,400,3,2023
176,2023-07-11 00:00:00,CUST176,Female,43,Beauty,2,50,100,200,7,2023
177,2023-03-24 00:00:00,CUST177,Male,45,Beauty,2,50,100,200,3,2023
178,2023-10-04 00:00:00,CUST178,Male,40,Clothing,2,30,60,120,10,2023
179,2023-09-29 00:00:00,CUST179,Male,31,Electronics,1,300,300,300,9,2023
180,2023-01-01 00:00:00,CUST180,Male,41,Clothing,3,300,900,2700,1,2023
181,2023-11-03 00:00:00,CUST181,Male,19,Electronics,4,300,1200,4800,11,2023
182,2023-06-15 00:00:00,CUST182,Male,62,Beauty,4,30,120,480,6,2023
183,2023-09-08 00:00:00,CUST183,Female,43,Beauty,3,300,900,2700,9,2023
184,2023-01-10 00:00:00,CUST184,Male,31,Electronics,4,50,200,800,1,2023
185,2023-02-27 00:00:00,CUST185,Male,24,Clothing,1,25,25,25,2,2023
186,2023-07-05 00:00:00,CUST186,Male,20,Clothing,4,50,200,800,7,2023
187,2023-06-07 00:00:00,CUST187,Female,64,Clothing,2,50,100,200,6,2023
188,2023-05-03 00:00:00,CUST188,Male,40,Clothing,3,25,75,225,5,2023
189,2023-01-30 00:00:00,CUST189,Male,63,Beauty,1,50,50,50,1,2023
190,2023-05-04 00:00:00,CUST190,Female,60,Beauty,3,30,90,270,5,2023
191,2023-10-18 00:00:00,CUST191,Male,64,Beauty,1,25,25,25,10,2023
192,2023-02-10 00:00:00,CUST192,Male,62,Beauty,2,50,100,200,2,2023
193,2023-02-13 00:00:00,CUST193,Male,35,Beauty,3,500,1500,4500,2,2023
194,2023-09-06 00:00:00,CUST194,Male,55,Clothing,4,50,200,800,9,2023
195,2023-02-05 00:00:00,CUST195,Male,52,Clothing,1,30,30,30,2,2023
196,2023-09-30 00:00:00,CUST196,Female,32,Clothing,3,300,900,2700,9,2023
197,2023-03-06 00:00:00,CUST197,Female,42,Clothing,4,50,200,800,3,2023
198,2023-03-07 00:00:00,CUST198,Female,54,Beauty,3,300,900,2700,3,2023
199,2023-12-04 00:00:00,CUST199,Male,45,Beauty,3,500,1500,4500,12,2023
200,2023-09-01 00:00:00,CUST200,Male,27,Beauty,3,50,150,450,9,2023
201,2023-10-09 00:00:00,CUST201,Male,56,Electronics,1,25,25,25,10,2023
202,2023-03-26 00:00:00,CUST202,Female,34,Clothing,4,300,1200,4800,3,2023
203,2023-05-16 00:00:00,CUST203,Male,56,Clothing,2,500,1000,2000,5,2023
204,2023-09-28 00:00:00,CUST204,Male,39,Beauty,1,25,25,25,9,2023
205,2023-11-07 00:00:00,CUST205,Female,43,Clothing,1,25,25,25,11,2023
206,2023-08-05 00:00:00,CUST206,Male,61,Clothing,1,25,25,25,8,2023
207,2023-04-19 00:00:00,CUST207,Female,42,Beauty,2,25,50,100,4,2023
208,2023-10-04 00:00:00,CUST208,Female,34,Electronics,4,50,200,800,10,2023
209,2023-12-20 00:00:00,CUST209,Female,30,Electronics,4,50,200,800,12,2023
210,2023-04-13 00:00:00,CUST210,Male,37,Electronics,4,50,200,800,4,2023
211,2024-01-01 00:00:00,CUST211,Male,42,Beauty,3,500,1500,4500,1,2024
212,2023-06-09 00:00:00,CUST212,Male,21,Clothing,3,500,1500,4500,6,2023
213,2023-07-24 00:00:00,CUST213,Male,27,Beauty,3,500,1500,4500,7,2023
214,2023-12-10 00:00:00,CUST214,Male,20,Beauty,2,30,60,120,12,2023
215,2023-11-29 00:00:00,CUST215,Male,58,Clothing,3,500,1500,4500,11,2023
216,2023-07-11 00:00:00,CUST216,Male,62,Electronics,2,50,100,200,7,2023
217,2023-08-13 00:00:00,CUST217,Female,35,Electronics,4,50,200,800,8,2023
218,2023-09-22 00:00:00,CUST218,Male,64,Beauty,3,30,90,270,9,2023
219,2023-08-20 00:00:00,CUST219,Female,53,Electronics,3,30,90,270,8,2023
220,2023-03-03 00:00:00,CUST220,Male,64,Beauty,1,500,500,500,3,2023
221,2023-05-07 00:00:00,CUST221,Male,39,Beauty,2,300,600,1200,5,2023
222,2023-04-26 00:00:00,CUST222,Male,51,Clothing,4,30,120,480,4,2023
223,2023-02-02 00:00:00,CUST223,Female,64,Clothing,1,25,25,25,2,2023
224,2023-06-23 00:00:00,CUST224,Female,25,Clothing,1,50,50,50,6,2023
225,2023-01-11 00:00:00,CUST225,Female,57,Beauty,4,25,100,400,1,2023
226,2023-10-29 00:00:00,CUST226,Female,61,Clothing,1,50,50,50,10,2023
227,2023-10-11 00:00:00,CUST227,Male,36,Electronics,2,50,100,200,10,2023
228,2023-04-28 00:00:00,CUST228,Female,59,Electronics,2,30,60,120,4,2023
229,2023-10-29 00:00:00,CUST229,Male,58,Beauty,3,30,90,270,10,2023
230,2023-04-23 00:00:00,CUST230,Male,54,Beauty,1,25,25,25,4,2023
231,2023-01-04 00:00:00,CUST231,Female,23,Clothing,3,50,150,450,1,2023
232,2023-02-06 00:00:00,CUST232,Female,43,Beauty,1,25,25,25,2,2023
233,2023-12-29 00:00:00,CUST233,Female,51,Beauty,2,300,600,1200,12,2023
234,2023-11-20 00:00:00,CUST234,Female,62,Electronics,2,25,50,100,11,2023
235,2023-01-31 00:00:00,CUST235,Female,23,Electronics,2,500,1000,2000,1,2023
236,2023-04-28 00:00:00,CUST236,Female,54,Clothing,1,25,25,25,4,2023
237,2023-02-04 00:00:00,CUST237,Female,50,Beauty,2,500,1000,2000,2,2023
238,2023-01-17 00:00:00,CUST238,Female,39,Beauty,1,500,500,500,1,2023
239,2023-06-19 00:00:00,CUST239,Male,38,Electronics,3,500,1500,4500,6,2023
240,2023-02-06 00:00:00,CUST240,Female,23,Beauty,1,300,300,300,2,2023
241,2023-09-21 00:00:00,CUST241,Female,23,Electronics,3,25,75,225,9,2023
242,2023-05-02 00:00:00,CUST242,Male,21,Clothing,1,25,25,25,5,2023
243,2023-05-23 00:00:00,CUST243,Female,47,Electronics,3,300,900,2700,5,2023
244,2023-12-09 00:00:00,CUST244,Male,28,Beauty,2,50,100,200,12,2023
245,2023-09-06 00:00:00,CUST245,Male,47,Clothing,3,30,90,270,9,2023
246,2023-04-20 00:00:00,CUST246,Female,48,Electronics,2,25,50,100,4,2023
247,2023-10-04 00:00:00,CUST247,Male,41,Electronics,2,30,60,120,10,2023
248,2023-03-09 00:00:00,CUST248,Male,26,Clothing,3,300,900,2700,3,2023
249,2023-10-20 00:00:00,CUST249,Male,20,Clothing,1,50,50,50,10,2023
250,2023-10-23 00:00:00,CUST250,Male,48,Electronics,1,50,50,50,10,2023
251,2023-08-31 00:00:00,CUST251,Female,57,Beauty,4,50,200,800,8,2023
252,2023-05-05 00:00:00,CUST252,Male,54,Electronics,1,300,300,300,5,2023
253,2023-08-31 00:00:00,CUST253,Female,53,Clothing,4,500,2000,8000,8,2023
254,2023-07-28 00:00:00,CUST254,Male,41,Electronics,1,500,500,500,7,2023
255,2023-04-08 00:00:00,CUST255,Male,48,Clothing,1,30,30,30,4,2023
256,2023-02-18 00:00:00,CUST256,Male,23,Clothing,2,500,1000,2000,2,2023
257,2023-02-19 00:00:00,CUST257,Male,19,Beauty,4,500,2000,8000,2,2023
258,2023-12-04 00:00:00,CUST258,Female,37,Clothing,1,50,50,50,12,2023
259,2023-08-09 00:00:00,CUST259,Female,45,Clothing,4,50,200,800,8,2023
260,2023-07-01 00:00:00,CUST260,Male,28,Beauty,2,30,60,120,7,2023
261,2023-08-05 00:00:00,CUST261,Male,21,Clothing,2,25,50,100,8,2023
262,2023-07-30 00:00:00,CUST262,Female,32,Beauty,4,30,120,480,7,2023
263,2023-08-28 00:00:00,CUST263,Male,23,Beauty,2,30,60,120,8,2023
264,2023-01-28 00:00:00,CUST264,Male,47,Clothing,3,300,900,2700,1,2023
265,2023-12-11 00:00:00,CUST265,Male,55,Clothing,3,300,900,2700,12,2023
266,2023-12-01 00:00:00,CUST266,Female,19,Electronics,2,30,60,120,12,2023
267,2023-11-27 00:00:00,CUST267,Female,32,Beauty,3,30,90,270,11,2023
268,2023-02-20 00:00:00,CUST268,Female,28,Electronics,1,30,30,30,2,2023
269,2023-02-01 00:00:00,CUST269,Male,25,Clothing,4,500,2000,8000,2,2023
270,2023-07-26 00:00:00,CUST270,Male,43,Electronics,1,300,300,300,7,2023
271,2023-06-23 00:00:00,CUST271,Female,62,Beauty,4,30,120,480,6,2023
272,2023-02-25 00:00:00,CUST272,Female,61,Electronics,2,50,100,200,2,2023
273,2023-05-08 00:00:00,CUST273,Female,22,Beauty,1,50,50,50,5,2023
274,2023-04-09 00:00:00,CUST274,Female,23,Clothing,2,500,1000,2000,4,2023
275,2023-04-08 00:00:00,CUST275,Male,43,Clothing,2,500,1000,2000,4,2023
276,2023-10-02 00:00:00,CUST276,Female,21,Beauty,4,25,100,400,10,2023
277,2023-08-18 00:00:00,CUST277,Male,36,Clothing,4,25,100,400,8,2023
278,2023-03-13 00:00:00,CUST278,Female,37,Clothing,4,25,100,400,3,2023
279,2023-08-05 00:00:00,CUST279,Male,50,Clothing,1,500,500,500,8,2023
280,2023-04-04 00:00:00,CUST280,Female,37,Clothing,3,500,1500,4500,4,2023
281,2023-05-23 00:00:00,CUST281,Female,29,Beauty,4,500,2000,8000,5,2023
282,2023-08-25 00:00:00,CUST282,Female,64,Electronics,4,50,200,800,8,2023
283,2023-05-08 00:00:00,CUST283,Female,18,Electronics,1,500,500,500,5,2023
284,2023-02-08 00:00:00,CUST284,Male,43,Clothing,4,50,200,800,2,2023
285,2023-08-15 00:00:00,CUST285,Female,31,Electronics,1,25,25,25,8,2023
286,2023-10-09 00:00:00,CUST286,Male,55,Electronics,2,25,50,100,10,2023
287,2023-02-20 00:00:00,CUST287,Male,54,Clothing,4,25,100,400,2,2023
288,2023-01-26 00:00:00,CUST288,Male,28,Clothing,4,30,120,480,1,2023
289,2023-11-30 00:00:00,CUST289,Male,53,Electronics,2,30,60,120,11,2023
290,2023-10-04 00:00:00,CUST290,Female,30,Beauty,2,300,600,1200,10,2023
291,2023-01-08 00:00:00,CUST291,Male,60,Clothing,2,300,600,1200,1,2023
292,2023-02-17 00:00:00,CUST292,Male,20,Beauty,4,300,1200,4800,2,2023
293,2023-05-02 00:00:00,CUST293,Male,50,Electronics,3,30,90,270,5,2023
294,2023-03-27 00:00:00,CUST294,Female,23,Clothing,3,30,90,270,3,2023
295,2023-07-28 00:00:00,CUST295,Female,27,Beauty,3,300,900,2700,7,2023
296,2023-09-06 00:00:00,CUST296,Female,22,Clothing,4,300,1200,4800,9,2023
297,2023-09-04 00:00:00,CUST297,Female,40,Electronics,2,500,1000,2000,9,2023
298,2023-04-20 00:00:00,CUST298,Male,27,Beauty,4,300,1200,4800,4,2023
299,2023-07-25 00:00:00,CUST299,Male,61,Electronics,2,500,1000,2000,7,2023
300,2023-01-31 00:00:00,CUST300,Female,19,Electronics,4,50,200,800,1,2023
301,2023-03-26 00:00:00,CUST301,Male,30,Clothing,4,30,120,480,3,2023
302,2023-07-14 00:00:00,CUST302,Male,57,Beauty,2,300,600,1200,7,2023
303,2023-01-02 00:00:00,CUST303,Male,19,Electronics,3,30,90,270,1,2023
304,2023-07-19 00:00:00,CUST304,Female,37,Electronics,2,30,60,120,7,2023
305,2023-05-16 00:00:00,CUST305,Female,18,Beauty,1,30,30,30,5,2023
306,2023-08-21 00:00:00,CUST306,Male,54,Electronics,1,50,50,50,8,2023
307,2023-05-27 00:00:00,CUST307,Female,26,Electronics,2,25,50,100,5,2023
308,2023-08-05 00:00:00,CUST308,Female,34,Beauty,4,300,1200,4800,8,2023
309,2023-12-23 00:00:00,CUST309,Female,26,Beauty,1,25,25,25,12,2023
310,2023-10-12 00:00:00,CUST310,Female,28,Beauty,1,25,25,25,10,2023
311,2023-12-05 00:00:00,CUST311,Female,32,Beauty,4,25,100,400,12,2023
312,2023-09-07 00:00:00,CUST312,Male,41,Clothing,4,30,120,480,9,2023
313,2023-03-21 00:00:00,CUST313,Female,55,Beauty,3,500,1500,4500,3,2023
314,2023-04-08 00:00:00,CUST314,Male,52,Clothing,4,30,120,480,4,2023
315,2023-06-01 00:00:00,CUST315,Male,47,Clothing,2,30,60,120,6,2023
316,2023-04-22 00:00:00,CUST316,Female,48,Clothing,2,25,50,100,4,2023
317,2023-01-30 00:00:00,CUST317,Male,22,Electronics,3,30,90,270,1,2023
318,2023-10-24 00:00:00,CUST318,Male,61,Clothing,1,25,25,25,10,2023
